misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,246,-16.096449879999998,1.4193331122398376,-0.0024882517755031586,6.660613107681274
40,14760,249,-14.3447224,1.4183005690574646,-0.007785202702507377,10.374455404281616
60,21960,248,-14.09285892,1.4174020171165467,-0.003914083074778319,6.536600494384766
80,29160,247,-13.29178394,1.4153701543807984,-0.002033071219921112,7.507843708992004
100,36360,247,-11.859818099999998,1.4165884733200074,-0.002163814753293991,7.223225653171539
120,43560,248,-10.610530359999998,1.4166580200195313,-0.0019572298973798753,3.7133776783943175
140,50760,248,-10.681458550000002,1.4166292071342468,-0.004221136122941971,0.6020192205905914
160,57960,247,-13.165263459999997,1.4184250354766845,0.0003209410235285759,10.375664615631104
180,65160,247,-13.22404427,1.4188618540763855,-0.004635722935199737,15.821087169647218
200,72360,246,-12.139528579999999,1.418148946762085,-0.0013354182243347167,6.161893850564956
220,79560,246,-14.086751250000002,1.4185205578804017,-0.004175843158736825,16.81323938369751
240,86760,246,-11.837275499999999,1.4189361572265624,-0.0006839580717496573,8.570985651016235
260,93960,246,-11.76300735,1.4188131809234619,-0.0009425029158592225,5.118330729007721
280,101160,247,-11.96548027,1.4177260160446168,-0.009543154388666153,1.9110991716384889
300,108360,247,-12.549249510000003,1.416629135608673,-0.005545451585203409,9.383457064628601
320,115560,247,-10.450189230000001,1.416211760044098,-0.012816748511977494,15.675809621810913
340,122760,246,-10.70984311,1.4155502557754516,-0.003755021095275879,4.716719418764114
360,129960,246,-12.0510319,1.4163545727729798,-0.0019131163135170937,1.3562833040952682
380,137160,247,-8.46707818,1.415930986404419,-0.006322197243571281,11.392376309633255
400,144360,246,-11.43801942,1.4153105020523071,-0.0025769956409931183,6.226327830553055
420,151560,246,-5.965129890000001,1.4153130412101746,-0.005902430647984147,1.4023849487304687
440,158760,246,-12.63700188,1.4142385125160217,-0.00838681273162365,5.218874287605286
460,165960,247,-7.723285739999999,1.4135682106018066,-0.008471332490444183,13.612053802609443
480,173160,247,-8.149893989999999,1.4111879587173461,0.002754279971122742,5.197005575895309
500,180360,247,-8.98601409,1.4095641493797302,-0.0076046758098527786,2.821204625070095
520,187560,246,-8.20557282,1.409987246990204,0.003436749428510666,1.9393572375178336
540,194760,247,-8.66274297,1.4099343538284301,-0.0027676517143845557,18.818009424209595
560,201960,247,-9.85748617,1.4103799700736999,-0.0031281409319490194,3.2397612929344177
580,209160,247,-8.20048611,1.4100731492042542,0.015956740826368332,7.127616029977799
600,216360,247,-9.351722220000001,1.4095929145812989,0.004572726041078568,10.245632088184356
620,223560,247,-8.262284679999999,1.4098324179649353,-0.0005542385144508444,12.280380725860596
640,230760,247,-7.181077319999998,1.4096314549446105,-0.000647120550274849,2.4864586353302003
660,237960,247,-9.64039157,1.4081470727920533,-0.0025901420041918753,10.28595957159996
680,245160,247,-7.711464899999998,1.4080393195152283,-0.013242925517261028,8.66132972240448
700,252360,248,-5.2987689399999995,1.4081122994422912,-0.0035322174429893495,6.741947078704834
720,259560,248,-5.012274980000001,1.408305048942566,0.001178581966087222,5.891165840625763
740,266760,247,-8.649778770000001,1.4079277157783507,-0.01083801668137312,5.08257287144661
760,273960,247,-7.455561510000001,1.4079768776893615,0.0019964814186096192,7.211037683486938
780,281160,247,-9.72959476,1.4071579098701477,0.0027807675302028655,2.751444751024246
800,288360,247,-8.30562217,1.406840193271637,-0.0013952456414699555,10.793536186218262
820,295560,247,-7.284928719999998,1.4066513419151305,0.002745300903916359,10.373863101005554
840,302760,248,-9.55670791,1.4059452533721923,0.007457094267010689,10.006453609466552
860,309960,248,-8.966891129999999,1.4061411142349243,-0.005694994330406189,0.31201450526714325
880,317160,248,-10.355349180000001,1.4060499310493468,0.0018078374676406383,15.326349997520447
900,324360,248,-10.764581299999998,1.4059927225112916,0.010970182926394045,6.519473123550415
920,331560,248,-8.401983519999998,1.406679344177246,0.001225803792476654,4.963209617137909
940,338760,248,-8.91999794,1.4062480807304383,0.0160743523738347,14.009746170043945
960,345960,248,-6.29922008,1.4055714011192322,-0.005352782737463713,4.1865140974521635
980,353160,248,-5.2428780800000006,1.4047897577285766,0.02100167013704777,12.304795897006988
1000,360360,248,-10.576062780000003,1.405189859867096,0.0032252607867121696,9.178000685572623
1020,367560,248,-9.25333818,1.404148530960083,-0.008625102788209915,0.4892031639814377
1040,374760,248,-6.38235808,1.4036123275756835,0.0008168887346982956,4.870753902196884
1060,381960,248,-5.03328241,1.4037927508354187,0.0057192601729184386,10.288866877555847
1080,389160,248,-4.01139621,1.4035453796386719,-0.015060916543006897,0.7586189150810242
1100,396360,248,-6.743201299999999,1.4037462711334228,-0.007471402455121279,2.0969918072223663
1120,403560,248,-4.6907340799999995,1.4040189743041993,0.014030919596552848,4.772890424728393
1140,410760,248,-4.278277,1.4039421677589417,0.0037896689027547836,1.1518802523612977
1160,417960,248,-9.648347659999999,1.4052017331123352,0.013042524951742962,5.79204568862915
1180,425160,248,-7.065959210000001,1.4048688411712646,-0.008964484930038452,1.4102913111448288
1200,432360,248,-6.02945782,1.4035990357398986,-0.006589410826563835,0.5564273953437805
1220,439560,248,-7.203229160000001,1.4010008454322815,-0.0013953045010566712,4.525295376777649
1240,446760,248,-8.13057215,1.4014887690544129,0.010527283395640552,5.946602439880371
1260,453960,248,-3.62139994,1.4013541340827942,-0.005511735379695892,6.999717983603477
1280,461160,248,-3.62686582,1.399631106853485,0.025948096113279463,5.035557690262794
1300,468360,248,-7.3669454199999995,1.3989073514938355,-0.002071487903594971,4.004175838828087
1320,475560,248,-3.8981390200000003,1.398790967464447,0.0031529607251286505,5.105062633752823
1340,482760,248,-5.11673103,1.3974502325057983,0.001732281903969124,4.979679036140442
1360,489960,248,-5.99993847,1.3946779727935792,0.0007487233728170395,5.812787199020386
1380,497160,249,-8.3888349,1.3944318532943725,0.001041426882147789,7.273339021205902
1400,504360,248,-4.5973492,1.3951478123664856,-7.614567875862122e-05,5.874995049834252
1420,511560,249,-4.7734937,1.395452857017517,0.02206975668668747,4.470842814445495
1440,518760,249,-4.61500999,1.3944991469383239,0.004326044023036957,9.818217027187348
1460,525960,249,-5.490946739999999,1.394387710094452,-0.003479798883199692,3.0880784049630163
1480,533160,249,-4.46729168,1.3938319444656373,0.0046870123594999315,3.6520029306411743
1500,540360,249,-6.5125027499999995,1.3941343665122985,0.029077358171343805,6.498425006866455
1520,547560,249,-4.702208860000001,1.39396675825119,0.0031655747443437576,5.532637387514114
1540,554760,249,-6.477983270000001,1.3946665287017823,0.0016842342913150788,3.94930419921875
1560,561960,249,-6.725586350000001,1.39540753364563,-0.0074022201821208,1.2159404695034026
1580,569160,249,-8.12476418,1.3954547882080077,0.009093886613845826,3.2725622564554215
1600,576360,249,-7.635157919999999,1.395692813396454,-0.00298788845539093,4.032655048370361
1620,583560,249,-6.208329330000001,1.394863772392273,0.016667288541793824,3.8448053687810897
1640,590760,249,-6.69088636,1.3949730157852174,-0.005510361492633819,6.127954360842705
1660,597960,249,-6.703845680000001,1.3963050603866578,-0.0038974180817604063,5.053832846879959
1680,605160,249,-6.275818920000002,1.3977431058883667,-0.0025152644142508508,0.5055629074573517
1700,612360,249,-3.73326999,1.3978587985038757,0.008571700751781463,6.7091933116316795
1720,619560,249,-5.14403586,1.3979248404502869,0.001196836680173874,4.347263595461845
1740,626760,249,-7.541041700000001,1.3980198144912719,-0.004543070867657662,0.5419059872627259
1760,633960,249,-3.5624771300000004,1.3973865509033203,0.01184391900897026,9.373422598838806
1780,641160,249,-2.0937491999999995,1.3974205732345581,0.0022636719048023226,4.133315229415894
1800,648360,249,-5.68242066,1.3974174857139587,0.004705798253417015,4.177677279710769
1820,655560,249,-2.5807318100000005,1.3967719435691834,0.0017767198383808135,5.748885482549667
1840,662760,249,-2.3261005800000003,1.3968654155731202,-0.001785949245095253,0.34856516644358637
1860,669960,249,-0.48212705,1.3973811388015747,-0.006696006935089827,0.1807870864868164
1880,677160,249,-2.0978614700000007,1.3971495509147644,-0.0006543686147779226,3.555480256676674
1900,684360,249,-1.52345752,1.397142469882965,0.001496226852759719,4.506307265162468
1920,691560,249,-0.68410485,1.396299624443054,0.00028782016597688197,6.458904978632927
1940,698760,249,-5.899202429999998,1.3964842081069946,-0.009474200010299683,4.080175577104091
1960,705960,249,-5.776372630000001,1.3952458858489991,-0.002459964482113719,0.19953995048999787
1980,713160,249,-6.2937015700000005,1.3951185464859008,-0.002278978773392737,0.2323070466518402
2000,720360,249,-1.9303452000000005,1.3943703889846801,-0.0007395938038825989,0.316175739467144
