reward 22,reward 7,reward 2,reward 24,reward 1,reward 17,reward 3,reward 9,reward 26,StepNum,reward 25,reward 18,reward 28,reward 8,reward 15,reward 20,reward 6,reward 19,reward 14,reward 11,reward 4,reward 0,reward 21,reward 10,reward 23,reward 12,reward 27,reward 5,reward 29,reward 16,reward 13
0,-99642.79619255614,-99594.68465963974,0,158.67473552724817,0,-99602.98712456235,-99657.1604049336,0,1000,0,0,0,-99655.24774808022,0,0,-99628.73786324107,0,0,0,-99616.06024276328,348.52907473628443,0,-99677.94568238236,0,0,0,-99618.89303916671,0,0,0
0,-99602.062043879,-99580.52279295296,0,158.67473552724817,-99642.79619255614,-99594.68465963974,-99612.48881633554,0,2000,0,-99655.24774808022,0,-99602.98712456235,-99629.58132999502,-99677.94568238236,-99600.47355829438,-99657.1604049336,-99628.73786324107,-99616.06024276328,-99595.06758492661,348.52907473628443,0,-99612.92154075998,0,-99618.89303916671,0,-99596.313832859,0,-99635.10536494628,-99623.71648869739
-99629.21776653372,-99580.52279295296,162.9037163873994,-99630.04360032904,166.57176233026297,-99618.89303916671,161.20353041383655,-99595.06758492661,-99635.10536494628,3000,-99634.18208744156,-99620.04688859811,-99642.79619255614,-99594.68465963974,-99612.92154075998,-99625.77879746581,157.41826928820595,-99623.71648869739,-99612.48881633554,-99600.47355829438,160.7224290051122,348.52907473628443,-99628.73786324107,-99596.313832859,-99629.58132999502,-99602.062043879,-99640.4926259595,158.67473552724817,-99647.98607639335,-99616.06024276328,-99602.98712456235
-99620.04688859811,158.67473552724817,166.57176233026297,-99623.71648869739,242.63007888737062,-99612.48881633554,163.8588351357662,-99580.52279295296,-99628.73786324107,4000,-99625.77879746581,-99612.721066776,-99629.58132999502,157.41826928820595,-99602.062043879,-99616.06024276328,160.7224290051122,-99612.92154075998,-99600.47355829438,-99594.68465963974,162.9037163873994,348.52907473628443,-99618.89303916671,-99584.5204779653,-99620.99447674342,-99595.06758492661,-99629.21776653372,161.20353041383655,-99630.04360032904,-99602.98712456235,-99596.313832859
-99602.98712456235,162.64143491461482,348.52907473628443,-99612.48881633554,367.182626596038,-99594.68465963974,242.63007888737062,160.7224290051122,-99612.92154075998,5000,-99612.721066776,-99595.06758492661,-99618.89303916671,161.20353041383655,-99584.5204779653,-99600.47355829438,162.9037163873994,-99596.313832859,-99580.52279295296,158.67473552724817,166.57176233026297,382.887896122621,-99602.062043879,160.518699887241,-99611.98392273141,157.41826928820595,-99616.06024276328,163.8588351357662,-99620.04688859811,-99593.15153543852,-99580.4742819357
-99600.47355829438,162.9037163873994,348.52907473628443,-99602.98712456235,367.182626596038,-99593.15153543852,242.63007888737062,161.20353041383655,-99612.48881633554,6000,-99611.98392273141,-99594.68465963974,-99612.92154075998,162.64143491461482,-99580.52279295296,-99595.06758492661,163.8588351357662,-99594.95246291214,-99580.4742819357,160.518699887241,230.90147934009823,382.887896122621,-99596.313832859,160.7224290051122,-99602.062043879,158.67473552724817,-99612.721066776,166.57176233026297,-99616.06024276328,-99584.5204779653,157.41826928820595
-99594.95246291214,163.8588351357662,348.52907473628443,-99595.33666264788,367.182626596038,-99580.52279295296,242.63007888737062,162.64143491461482,-99596.313832859,7000,-99595.57127255072,-99584.5204779653,-99602.062043879,162.9037163873994,-99568.21069341563,-99593.15153543852,166.57176233026297,-99590.24602715117,157.41826928820595,160.7224290051122,233.82930569942732,382.887896122621,-99594.68465963974,161.20353041383655,-99595.06758492661,160.518699887241,-99600.47355829438,230.90147934009823,-99602.98712456235,-99580.4742819357,158.67473552724817
-99580.52279295296,166.08633971352901,348.52907473628443,-99584.5204779653,367.182626596038,160.2548334285759,242.63007888737062,162.9037163873994,-99590.24602715117,8000,-99587.86814342753,158.67473552724817,-99594.68465963974,163.8588351357662,160.3937415358891,-99568.21069341563,166.57176233026297,157.41826928820595,160.518699887241,162.64143491461482,233.82930569942732,382.887896122621,-99580.4742819357,162.86702016797653,-99581.72908857155,161.20353041383655,-99593.15153543852,230.90147934009823,-99594.95246291214,160.30386432605098,160.7224290051122
157.9818402940206,230.90147934009823,348.52907473628443,-99568.21069341563,367.182626596038,160.518699887241,245.29345606374602,166.08633971352901,-99580.52279295296,9000,-99580.4742819357,160.3937415358891,-99584.5204779653,166.57176233026297,161.20353041383655,160.2548334285759,232.03981953374043,160.30386432605098,161.21339779915667,162.9037163873994,242.63007888737062,382.887896122621,158.67473552724817,163.8588351357662,157.41826928820595,162.86702016797653,-99581.72908857155,233.82930569942732,-99587.86814342753,160.7224290051122,162.64143491461482
157.9818402940206,230.90147934009823,348.52907473628443,-99568.21069341563,367.182626596038,160.518699887241,245.29345606374602,166.08633971352901,-99580.52279295296,10000,-99580.4742819357,160.3937415358891,-99584.5204779653,166.57176233026297,161.20353041383655,160.2548334285759,232.03981953374043,160.30386432605098,161.21339779915667,162.9037163873994,242.63007888737062,382.887896122621,158.67473552724817,163.8588351357662,157.41826928820595,162.86702016797653,-99581.72908857155,233.82930569942732,-99587.17780089268,160.7224290051122,162.64143491461482
160.26424473656073,232.03981953374043,367.182626596038,159.12074994015057,376.9217977302163,160.81100383458545,348.52907473628443,166.57176233026297,158.67473552724817,11000,159.11060295323136,160.7224290051122,157.41826928820595,230.90147934009823,161.21339779915667,160.3937415358891,233.82930569942732,160.518699887241,162.64143491461482,163.8588351357662,245.29345606374602,382.887896122621,160.30386432605098,166.08633971352901,160.2548334285759,162.9037163873994,157.9818402940206,242.63007888737062,-99568.21069341563,161.20353041383655,162.86702016797653
161.20353041383655,233.82930569942732,376.9217977302163,160.7224290051122,380.2867603608944,162.9037163873994,367.182626596038,230.90147934009823,160.3937415358891,12000,160.518699887241,162.86702016797653,160.26424473656073,232.03981953374043,164.29316804077504,162.15206790764398,242.63007888737062,162.64143491461482,164.5599002890267,167.01608094904026,348.52907473628443,382.887896122621,161.21339779915667,169.8768148507566,160.81100383458545,166.57176233026297,160.30386432605098,245.29345606374602,160.2548334285759,163.8588351357662,166.08633971352901
162.15206790764398,242.63007888737062,380.2867603608944,161.20353041383655,382.887896122621,164.29316804077504,376.9217977302163,232.03981953374043,160.7224290051122,13000,160.81100383458545,163.8588351357662,160.3937415358891,233.82930569942732,165.44204869836517,162.86702016797653,245.29345606374602,162.9037163873994,166.08633971352901,169.8768148507566,367.182626596038,401.9926776663359,162.64143491461482,230.90147934009823,161.21339779915667,167.01608094904026,160.518699887241,348.52907473628443,160.30386432605098,164.5599002890267,166.57176233026297
162.77497283247874,242.63007888737062,380.2867603608944,162.15206790764398,382.887896122621,164.5599002890267,376.9217977302163,232.03981953374043,161.20353041383655,14000,161.21339779915667,164.29316804077504,160.81100383458545,233.82930569942732,165.57036447046823,162.9037163873994,245.29345606374602,163.8588351357662,166.08633971352901,169.8768148507566,367.182626596038,401.9926776663359,162.86702016797653,230.90147934009823,162.64143491461482,167.01608094904026,161.13039169392437,348.52907473628443,160.7224290051122,165.44204869836517,166.57176233026297
