reward 24,reward 22,reward 21,reward 18,reward 17,reward 10,reward 8,reward 7,reward 3,reward 13,reward 5,reward 29,reward 2,reward 19,reward 23,reward 26,reward 4,reward 14,reward 27,reward 16,reward 1,reward 28,reward 11,reward 12,reward 15,reward 25,StepNum,reward 20,reward 9,reward 6,reward 0
0,0,0,0,0,-99697.30815127162,-99660.77361429622,-99653.98154517375,-99604.71853517399,0,-99636.2741929571,0,-99589.10272832,0,0,0,-99623.16071975921,0,0,0,69.5900789188239,0,0,0,0,0,1000,0,-99667.75621417767,-99644.22970897396,75.10251581165028
0,0,0,-99669.9704202082,-99667.75621417767,-99636.2741929571,-99627.7702309952,-99623.16071975921,-99604.71853517399,-99653.98154517375,-99606.83776610132,0,-99589.10272832,-99678.38671772064,0,0,-99605.30937965101,-99660.77361429622,0,-99664.05357985076,69.5900789188239,0,-99640.92788028209,-99644.22970897396,-99661.32428334739,0,2000,-99697.30815127162,-99634.27742867889,-99620.78647864689,75.10251581165028
-99661.32428334739,-99653.98154517375,-99647.28702460889,-99643.72090541074,-99640.92788028209,-99623.16071975921,-99613.27144594074,-99606.83776610132,-99542.1822184755,-99631.20270381834,-99604.71853517399,-99696.5866160655,69.5900789188239,-99643.88115138034,-99660.77361429622,-99667.75621417767,-99589.10272832,-99634.27742867889,-99669.9704202082,-99636.2741929571,75.10251581165028,-99678.38671772064,-99627.7702309952,-99628.40157760725,-99634.96442160486,-99664.05357985076,3000,-99644.22970897396,-99620.78647864689,-99605.30937965101,299.5231331566594
-99634.96442160486,-99631.20270381834,-99628.40157760725,-99621.07375833053,-99620.78647864689,-99594.13074101027,-99589.10272832,-99550.65377606572,69.22194340618367,-99605.30937965101,-99534.957714722,-99643.88115138034,69.5900789188239,-99623.16071975921,-99634.27742867889,-99639.74272616373,66.3657463461142,-99606.83776610132,-99640.92788028209,-99614.2460823987,75.10251581165028,-99643.72090541074,-99596.80227179214,-99604.71853517399,-99613.27144594074,-99636.2741929571,4000,-99627.7702309952,-99589.35521582687,-99542.1822184755,299.5231331566594
-99628.40157760725,-99623.78032130071,-99623.16071975921,-99614.2460823987,-99613.27144594074,-99589.10272832,-99542.1822184755,-99534.957714722,69.5900789188239,-99596.80227179214,68.63276939687948,-99636.8824595021,74.86758148907633,-99620.78647864689,-99627.7702309952,-99634.27742867889,69.22194340618367,-99604.71853517399,-99634.96442160486,-99606.83776610132,75.10251581165028,-99636.2741929571,-99589.35521582687,-99594.13074101027,-99605.30937965101,-99631.20270381834,5000,-99621.07375833053,-99550.65377606572,66.3657463461142,299.5231331566594
-99621.44103677556,-99620.78647864689,-99614.2460823987,-99605.30937965101,-99604.71853517399,-99542.1822184755,66.3657463461142,68.63276939687948,71.91221852637317,-99589.10272832,69.5900789188239,-99631.20270381834,74.86758148907633,-99606.83776610132,-99621.07375833053,-99623.78032130071,71.42673425464446,-99589.35521582687,-99627.7702309952,-99596.80227179214,75.10251581165028,-99628.40157760725,-99550.65377606572,-99588.22680937845,-99594.13074101027,-99623.16071975921,6000,-99613.27144594074,-99534.957714722,69.22194340618367,299.5231331566594
-99613.27144594074,-99606.62717148449,-99605.30937965101,-99596.80227179214,-99594.13074101027,66.3657463461142,69.22194340618367,69.30446900678176,71.91221852637317,-99550.65377606572,70.2373649726397,-99623.16071975921,74.86758148907633,-99604.71853517399,-99606.83776610132,-99620.78647864689,71.42673425464446,-99588.22680937845,-99621.07375833053,-99589.35521582687,75.10251581165028,-99621.44103677556,-99534.957714722,-99542.1822184755,-99589.10272832,-99614.2460823987,7000,-99605.20495681324,68.63276939687948,69.5900789188239,299.5231331566594
-99604.71853517399,-99594.13074101027,-99589.35521582687,-99550.65377606572,-99542.1822184755,69.5900789188239,71.08483029487083,71.30846902653231,74.86758148907633,69.22194340618367,71.91221852637317,-99613.27144594074,75.10251581165028,-99588.22680937845,-99596.80227179214,-99605.30937965101,72.90569443162578,68.63276939687948,-99606.62717148449,-99534.957714722,299.5231331566594,-99606.83776610132,69.30446900678176,69.22600793016167,66.3657463461142,-99605.20495681324,8000,-99589.10272832,70.2373649726397,71.42673425464446,344.33944095523896
-99550.65377606572,-99534.957714722,66.3657463461142,69.22600793016167,69.244111543755,70.2373649726397,71.30846902653231,71.42673425464446,74.86758148907633,69.81402185034617,72.19675681365952,-99596.80227179214,75.10251581165028,69.22194340618367,-99542.1822184755,-99589.10272832,72.90569443162578,69.5900789188239,-99589.35521582687,69.30446900678176,299.5231331566594,-99594.13074101027,69.97150825859966,69.95072404580938,69.5863080750519,-99588.22680937845,9000,68.63276939687948,71.08483029487083,71.91221852637317,344.33944095523896
66.44673943657942,68.63276939687948,69.22194340618367,69.30446900678176,69.5863080750519,70.81699909098195,71.30846902653231,71.42673425464446,74.86758148907633,69.97150825859966,72.19675681365952,-99588.22680937845,75.10251581165028,69.244111543755,67.34877435508183,-99534.957714722,72.90569443162578,69.95072404580938,-99542.1822184755,69.5900789188239,299.5231331566594,-99550.65377606572,70.2373649726397,70.10980543781031,69.81402185034617,66.3657463461142,10000,69.22600793016167,71.08483029487083,71.91221852637317,344.33944095523896
