reward 19,reward 20,reward 16,reward 26,reward 14,reward 1,reward 25,reward 28,reward 29,reward 3,reward 5,reward 8,reward 10,reward 21,reward 11,StepNum,reward 9,reward 15,reward 18,reward 7,reward 0,reward 22,reward 6,reward 13,reward 2,reward 12,reward 24,reward 27,reward 17,reward 4,reward 23
0,0,0,0,0,-99516.48627827306,0,0,0,-99537.52354041138,-99562.30964064137,-99592.791035694,0,0,0,1000,-99593.48854684984,0,0,-99584.67891481344,-99505.58269892925,0,-99581.15197677349,0,-99537.43431951154,0,0,0,0,-99539.13323892569,0
-99608.00471156856,0,-99584.67891481344,0,-99562.30964064137,-99505.58269892925,0,0,0,-99516.48627827306,-99522.50635539771,-99537.52354041138,-99550.86297938602,0,-99551.73833253802,2000,-99539.13323892569,-99581.15197677349,-99593.48854684984,-99537.43431951154,-99502.25458518349,0,-99528.99946623266,-99554.86642267097,-99515.31884470904,-99553.7537738938,0,0,-99592.791035694,-99520.45685734597,0
-99550.86297938602,-99551.73833253802,-99539.13323892569,-99584.67891481344,-99537.52354041138,-99502.25458518349,-99581.15197677349,-99593.48854684984,-99608.00471156856,-99510.7933842792,-99516.48627827306,-99527.08736085313,-99529.09524806957,-99553.7537738938,-99533.47772057497,3000,-99528.99946623266,-99537.76533783949,-99543.80339592077,-99522.50635539771,-99483.8127513532,-99554.86642267097,-99520.45685734597,-99537.43431951154,-99505.58269892925,-99536.10853003061,-99562.30964064137,-99592.791035694,-99540.98120069281,-99515.31884470904,-99560.91513349407
-99533.47772057497,-99536.10853003061,-99528.99946623266,-99543.80339592077,-99522.50635539771,-99463.16161319724,-99540.98120069281,-99551.73833253802,-99553.7537738938,-99483.8127513532,-99502.25458518349,-99505.58269892925,-99511.7227711586,-99537.43431951154,-99515.31884470904,4000,-99510.7933842792,-99527.08736085313,-99531.05176068869,-99503.6935388683,-99443.57492002728,-99537.52354041138,-99502.49972182186,-99520.45685734597,-99483.36866247885,-99516.48627827306,-99539.13323892569,-99550.86297938602,-99529.09524806957,-99496.84683441087,-99537.76533783949
-99520.45685734597,-99522.50635539771,-99516.48627827306,-99530.89353757365,-99512.47444559453,-99462.81805576949,-99529.42624571925,-99533.47772057497,-99536.10853003061,-99483.36866247885,-99496.84683441087,-99502.49972182186,-99503.6935388683,-99527.08736085313,-99505.58269892925,5000,-99502.53994553369,-99515.31884470904,-99519.79952376585,-99502.25458518349,-99443.57492002728,-99528.59792127654,-99497.13629568713,-99511.7227711586,-99463.16161319724,-99510.7933842792,-99529.09524806957,-99531.05176068869,-99519.0898651656,-99483.8127513532,-99528.99946623266
-99513.49752516494,-99515.31884470904,-99511.7227711586,-99527.08736085313,-99510.13510965192,-99443.57492002728,-99522.50635539771,-99528.99946623266,-99529.09524806957,-99463.16161319724,-99483.8127513532,-99502.25458518349,-99502.53994553369,-99516.48627827306,-99503.6935388683,6000,-99502.49972182186,-99510.7933842792,-99512.47444559453,-99497.13629568713,229.24797612213447,-99519.0898651656,-99496.84683441087,-99505.58269892925,-99462.81805576949,-99505.21824642125,-99520.45685734597,-99528.59792127654,-99511.99907693437,-99483.36866247885,-99519.79952376585
-99510.13510965192,-99510.7933842792,-99505.21824642125,-99516.48627827306,-99502.53994553369,239.20713966663632,-99515.31884470904,-99519.79952376585,-99520.45685734597,-99443.57492002728,-99463.16161319724,-99483.8127513532,-99497.13629568713,-99511.7227711586,-99497.50572134141,7000,-99496.84683441087,-99503.6935388683,-99506.33931524263,-99483.36866247885,251.67298499706763,-99511.99907693437,-99472.07662119986,-99502.49972182186,229.24797612213447,-99502.25458518349,-99513.49752516494,-99519.0898651656,-99505.58269892925,-99462.81805576949,-99512.47444559453
-99505.58269892925,-99506.33931524263,-99502.53994553369,-99513.49752516494,-99502.25458518349,239.20713966663632,-99512.47444559453,-99516.48627827306,-99519.0898651656,-99443.57492002728,-99463.16161319724,-99483.36866247885,-99490.9800501703,-99510.13510965192,-99496.84683441087,8000,-99483.8127513532,-99502.49972182186,-99505.21824642125,-99477.87551950442,251.67298499706763,-99510.7933842792,-99472.07662119986,-99497.50572134141,229.24797612213447,-99497.13629568713,-99511.99907693437,-99515.31884470904,-99503.6935388683,-99462.81805576949,-99511.7227711586
-99503.6935388683,-99505.21824642125,-99502.25458518349,-99511.7227711586,-99499.15983791792,239.20713966663632,-99510.7933842792,-99512.47444559453,-99513.49752516494,-99443.57492002728,-99463.16161319724,-99483.36866247885,-99490.9800501703,-99505.58269892925,-99496.84683441087,9000,-99483.8127513532,-99501.92519476874,-99502.53994553369,-99477.87551950442,251.67298499706763,-99506.33931524263,-99472.07662119986,-99497.50572134141,229.24797612213447,-99497.13629568713,-99510.13510965192,-99511.99907693437,-99502.49972182186,-99462.81805576949,-99506.72680928026
-99502.53994553369,-99503.6935388683,-99501.92519476874,-99510.13510965192,-99499.15983791792,239.20713966663632,-99506.72680928026,-99511.34279773879,-99511.7227711586,-99443.57492002728,-99463.16161319724,-99483.36866247885,-99490.9800501703,-99505.21824642125,-99496.84683441087,10000,-99483.8127513532,-99501.68954191305,-99502.49972182186,-99477.87551950442,251.67298499706763,-99505.22261197849,-99472.07662119986,-99497.50572134141,229.24797612213447,-99497.13629568713,-99506.33931524263,-99510.7933842792,-99502.25458518349,-99462.81805576949,-99505.58269892925
