reward 29,reward 22,reward 21,reward 2,reward 15,reward 23,reward 24,reward 19,reward 14,reward 1,reward 28,StepNum,reward 25,reward 20,reward 16,reward 3,reward 10,reward 0,reward 9,reward 7,reward 18,reward 8,reward 5,reward 12,reward 26,reward 13,reward 11,reward 6,reward 27,reward 17,reward 4
0,0,0,-99588.27913396638,0,0,0,0,0,-99560.63150080293,0,1000,0,0,0,-99589.4804816265,0,364.3578338468513,-99696.55811011212,-99642.15498349907,0,-99677.09156394193,-99620.45270463868,0,0,0,0,-99639.34094314447,0,0,-99608.65995552503
0,0,0,-99558.12856009523,-99639.34094314447,0,0,-99696.55811011212,-99628.60152490335,328.0864159045042,0,2000,0,0,-99642.15498349907,-99560.63150080293,-99620.45270463868,364.3578338468513,-99608.65995552503,-99589.4804816265,-99677.09156394193,-99603.68020854304,-99586.36210282255,-99623.663131949,0,-99625.63079532358,-99622.12746521735,-99588.27913396638,0,-99655.88725622203,-99574.130957457
-99677.09156394193,-99625.63079532358,-99623.663131949,328.0864159045042,-99612.52939098436,-99628.60152490335,-99632.33862390506,-99620.62749190207,-99608.65995552503,328.6428337952979,-99655.88725622203,3000,-99639.34094314447,-99622.12746521735,-99613.48630430391,322.7535821896627,-99588.27913396638,364.3578338468513,-99586.36210282255,-99574.130957457,-99620.45270463868,-99580.2704515064,-99558.12856009523,-99603.68020854304,-99642.15498349907,-99603.6919302873,-99589.4804816265,-99560.63150080293,-99646.25122582613,-99617.51114917024,-99550.23727106438
-99625.0892224494,-99612.52939098436,-99608.65995552503,328.6428337952979,-99588.27913396638,-99613.48630430391,-99617.51114917024,-99603.68020854304,-99586.36210282255,364.3578338468513,-99623.663131949,4000,-99620.45270463868,-99603.6919302873,-99589.4804816265,328.0864159045042,-99558.12856009523,399.8653269533957,-99550.23727106438,-99520.91078099918,-99596.67026616698,-99532.68163030922,319.9612655813229,-99574.130957457,-99620.62749190207,-99580.2704515064,-99560.63150080293,302.0731830279572,-99622.12746521735,-99593.23867395498,322.7535821896627
-99617.51114917024,-99595.83559296512,-99593.23867395498,338.22088389383134,-99576.19133513224,-99596.67026616698,-99603.68020854304,-99588.27913396638,-99574.130957457,364.3578338468513,-99613.48630430391,5000,-99603.6919302873,-99589.4804816265,-99580.26720492725,328.6428337952979,-99550.23727106438,399.8653269533957,-99532.68163030922,302.0731830279572,-99586.36210282255,-99520.91078099918,322.7535821896627,-99560.43066098876,-99608.65995552503,-99560.63150080293,-99558.12856009523,319.9612655813229,-99612.52939098436,-99580.2704515064,328.0864159045042
-99593.23867395498,-99576.19133513224,-99574.130957457,338.22088389383134,-99532.68163030922,-99580.26720492725,-99580.2704515064,-99560.63150080293,-99520.91078099918,364.3578338468513,-99589.4804816265,6000,-99581.61810860565,-99570.51503246688,-99550.23727106438,336.20676490733507,310.31407708143,399.8653269533957,317.55508243098745,322.7535821896627,-99560.43066098876,319.9612655813229,328.6428337952979,295.6624036938312,-99586.36210282255,-99515.60718961412,302.0731830279572,328.0864159045042,-99588.27913396638,-99558.12856009523,332.526094667258
-99585.44566779386,-99571.22242961432,-99570.51503246688,364.3578338468513,-99520.91078099918,-99574.130957457,-99576.19133513224,-99560.43066098876,-99515.60718961412,398.5042916585321,-99581.61810860565,7000,-99578.19977190185,-99560.63150080293,-99532.68163030922,338.22088389383134,317.55508243098745,399.8653269533957,319.9612655813229,328.0864159045042,-99558.12856009523,322.7535821896627,332.526094667258,302.0731830279572,-99580.26720492725,295.6624036938312,310.31407708143,328.6428337952979,-99580.2704515064,-99550.23727106438,336.20676490733507
-99580.26720492725,-99570.51503246688,-99560.63150080293,364.3578338468513,-99515.60718961412,-99571.22242961432,-99573.55964108578,-99558.12856009523,295.6624036938312,398.5042916585321,-99578.19977190185,8000,-99574.130957457,-99560.43066098876,-99520.91078099918,338.22088389383134,317.97826482438325,399.8653269533957,319.9612655813229,328.0864159045042,-99550.23727106438,322.7535821896627,332.526094667258,310.31407708143,-99574.79680313136,302.0731830279572,317.55508243098745,328.6428337952979,-99576.19133513224,-99532.68163030922,336.20676490733507
-99573.55964108578,-99550.23727106438,-99547.69593770905,364.3578338468513,309.9017979553772,-99558.12856009523,-99559.1312604369,-99520.91078099918,310.31407708143,398.5042916585321,-99571.22242961432,9000,-99560.43066098876,-99532.68163030922,302.0731830279572,338.22088389383134,319.9612655813229,399.8653269533957,322.7535821896627,328.0864159045042,-99515.60718961412,326.80544660621774,332.526094667258,317.8481276778499,-99560.63150080293,317.55508243098745,317.97826482438325,328.6428337952979,-99570.51503246688,295.6624036938312,336.20676490733507
-99560.63150080293,-99532.68163030922,-99522.43159600403,364.3578338468513,309.9941286284178,-99547.69593770905,-99550.23727106438,-99515.60718961412,310.31407708143,398.5042916585321,-99560.43066098876,10000,-99554.27625721639,-99520.91078099918,309.9017979553772,338.22088389383134,319.9612655813229,399.8653269533957,322.7535821896627,328.0864159045042,295.6624036938312,326.80544660621774,332.526094667258,317.8481276778499,-99558.12856009523,317.55508243098745,317.97826482438325,328.6428337952979,-99559.1312604369,302.0731830279572,336.20676490733507
-99555.75088080802,-99515.60718961412,295.6624036938312,364.3578338468513,317.55508243098745,-99520.91078099918,-99522.43159600403,309.9017979553772,317.78161302705115,398.5042916585321,-99554.27625721639,11000,-99532.68163030922,302.0731830279572,316.44804076397645,338.22088389383134,322.7535821896627,399.8653269533957,325.5889353617576,328.0864159045042,309.9941286284178,326.80544660621774,332.526094667258,317.97826482438325,-99547.69593770905,317.8481276778499,319.9612655813229,328.6428337952979,-99550.23727106438,310.31407708143,336.20676490733507
-99550.23727106438,295.6624036938312,302.0731830279572,364.3578338468513,317.55508243098745,-99515.60718961412,-99520.91078099918,309.9017979553772,317.78161302705115,398.5042916585321,-99549.6769034045,12000,-99522.43159600403,304.77620908215346,316.44804076397645,338.22088389383134,322.7535821896627,399.8653269533957,325.5889353617576,328.0864159045042,309.9941286284178,326.80544660621774,332.526094667258,317.97826482438325,-99532.68163030922,317.8481276778499,319.9612655813229,328.6428337952979,-99547.69593770905,310.31407708143,336.20676490733507
