reward 19,reward 11,reward 8,reward 29,StepNum,reward 1,reward 28,reward 25,reward 7,reward 22,reward 0,reward 15,reward 10,reward 17,reward 18,reward 9,reward 4,reward 27,reward 5,reward 2,reward 20,reward 16,reward 24,reward 12,reward 3,reward 13,reward 14,reward 21,reward 23,reward 6,reward 26
0,0,-99647.13194587607,0,1000,-99558.43064441223,0,0,-99630.72308010538,0,249.20138909145763,0,0,0,0,-99672.81866076899,-99586.36656919219,0,-99616.28181470292,-99561.29208615389,0,0,0,0,-99577.96148238757,0,0,0,0,-99624.5506314278,0
-99677.650478388,-99609.39920937092,-99586.36656919219,0,2000,249.20138909145763,0,0,-99577.96148238757,0,374.59167660652037,-99646.83467255697,-99602.51016776323,-99651.72162580916,-99672.81866076899,-99600.10888770409,-99558.43064441223,0,-99559.00922309347,-99475.46316117722,0,-99647.13194587607,0,-99616.28181470292,-99548.83666085225,-99624.5506314278,-99630.72308010538,0,0,-99561.29208615389,0
-99624.5506314278,-99577.96148238757,-99558.43064441223,-99734.83296508862,3000,368.7829471585018,-99703.58614869358,-99652.69914387606,-99550.08477191738,-99647.13194587607,374.59167660652037,-99602.51016776323,-99561.29208615389,-99612.14947744754,-99616.28181470292,-99559.00922309347,-99475.46316117722,-99677.650478388,-99524.4478098813,322.13533983159584,-99630.72308010538,-99609.39920937092,-99652.5120127003,-99579.77403304462,249.20138909145763,-99586.36656919219,-99600.10888770409,-99646.83467255697,-99651.72162580916,-99548.83666085225,-99672.81866076899
-99600.10888770409,-99561.29208615389,-99550.08477191738,-99646.83467255697,4000,368.7829471585018,-99630.72308010538,-99616.28181470292,-99548.83666085225,-99612.14947744754,374.59167660652037,-99577.96148238757,-99559.00922309347,-99586.36656919219,-99594.29474186919,-99558.43064441223,249.20138909145763,-99624.5506314278,-99475.46316117722,322.13533983159584,-99602.51016776323,-99579.77403304462,-99614.53078296864,-99566.83195589768,288.4986045299253,-99569.81787572012,-99577.94717498272,-99609.39920937092,-99613.67059530977,-99524.4478098813,-99619.24293854598
-99579.77403304462,-99550.08477191738,-99475.46316117722,-99612.14947744754,5000,374.59167660652037,-99609.39920937092,-99602.51016776323,249.20138909145763,-99594.29474186919,407.2138798029901,-99566.83195589768,-99548.83666085225,-99577.94717498272,-99577.96148238757,-99524.4478098813,288.4986045299253,-99608.61217532227,270.38047687136293,368.7829471585018,-99582.43911739114,-99569.81787572012,-99600.10888770409,-99558.43064441223,322.13533983159584,-99559.00922309347,-99561.29208615389,-99586.36656919219,-99594.39497324111,253.80919217157097,-99606.47894783111
-99558.43064441223,249.20138909145763,270.96302911691356,-99582.43911739114,6000,374.59167660652037,-99579.77403304462,-99577.94717498272,278.8542530450188,-99566.83195589768,407.2138798029901,-99543.79938388788,253.80919217157097,-99550.08477191738,-99552.48698170198,270.38047687136293,314.40913133517745,-99578.78136216638,309.82892019038036,368.7829471585018,-99559.00922309347,-99548.83666085225,-99570.49868770504,-99475.46316117722,322.13533983159584,-99498.58100314115,-99524.4478098813,-99561.29208615389,-99569.81787572012,288.4986045299253,-99577.96148238757
-99550.08477191738,249.20138909145763,270.96302911691356,-99577.96148238757,7000,374.59167660652037,-99577.94717498272,-99566.83195589768,278.8542530450188,-99558.43064441223,407.2138798029901,-99526.55004205837,253.80919217157097,-99543.79938388788,-99548.83666085225,270.38047687136293,314.40913133517745,-99570.49868770504,309.82892019038036,368.7829471585018,-99552.18871168554,-99540.94929354495,-99561.29208615389,-99475.46316117722,322.13533983159584,-99498.58100314115,-99524.4478098813,-99552.48698170198,-99559.00922309347,288.4986045299253,-99569.81787572012
-99550.08477191738,249.20138909145763,270.96302911691356,-99577.94717498272,8000,374.59167660652037,-99574.4096161849,-99566.83195589768,278.8542530450188,-99558.43064441223,407.2138798029901,-99526.55004205837,253.80919217157097,-99543.79938388788,-99548.83666085225,270.38047687136293,314.40913133517745,-99570.49868770504,309.82892019038036,368.7829471585018,-99552.18871168554,-99540.94929354495,-99561.29208615389,-99475.46316117722,322.13533983159584,-99498.58100314115,-99524.4478098813,-99552.48698170198,-99559.00922309347,288.4986045299253,-99569.81787572012
-99543.79938388788,261.98923177800447,278.8542530450188,-99570.49868770504,9000,374.59167660652037,-99569.81787572012,-99559.00922309347,284.45743793721215,-99552.18871168554,407.2138798029901,-99498.58100314115,270.38047687136293,-99526.55004205837,-99540.94929354495,270.96302911691356,314.40913133517745,-99566.83195589768,309.82892019038036,368.7829471585018,-99548.83666085225,-99524.4478098813,-99558.43064441223,253.80919217157097,322.13533983159584,249.20138909145763,-99475.46316117722,-99550.08477191738,-99552.48698170198,288.4986045299253,-99561.29208615389
-99526.55004205837,270.38047687136293,284.45743793721215,-99561.29208615389,10000,374.59167660652037,-99559.00922309347,-99552.48698170198,288.4986045299253,-99548.83666085225,407.2138798029901,249.20138909145763,270.96302911691356,-99498.58100314115,-99524.4478098813,278.8542530450188,317.6168624800791,-99558.43064441223,314.40913133517745,368.7829471585018,-99540.94929354495,-99475.46316117722,-99552.18871168554,261.98923177800447,322.13533983159584,253.85594812352443,253.80919217157097,-99543.79938388788,-99550.08477191738,309.82892019038036,-99554.43682067192
