reward 15,reward 1,reward 13,reward 22,reward 11,reward 26,reward 5,StepNum,reward 19,reward 0,reward 27,reward 2,reward 3,reward 23,reward 20,reward 14,reward 12,reward 16,reward 9,reward 18,reward 10,reward 6,reward 25,reward 4,reward 17,reward 21,reward 29,reward 24,reward 8,reward 28,reward 7
0,-98298.89926580478,0,0,0,0,-98642.8832829926,1000,0,-98125.62713462589,0,-98374.73252767006,-98484.95331528778,0,0,0,0,0,-99055.25193172168,0,0,-98644.07883874855,0,-98631.27548264983,0,0,0,0,-98990.56655637079,0,-98767.23662560784
-98751.94280338002,-98115.79498989363,-98642.8832829926,0,-98623.56781767932,0,-98335.4835722862,2000,-99055.25193172168,635.0690716367727,0,-98125.62713462589,-98289.65726700725,0,0,-98644.07883874855,-98631.27548264983,-98767.23662560784,-98538.27146099327,-98990.56655637079,-98615.07709402764,-98345.35142170782,0,-98298.89926580478,-98966.93545614401,0,0,0,-98484.95331528778,0,-98374.73252767006
-98484.95331528778,616.4511492351379,-98449.07321968363,-98692.19444221695,-98371.95797696826,-98966.93545614401,-98289.65726700725,3000,-98631.27548264983,635.0690716367727,-98990.56655637079,613.784667479423,-98115.79498989363,-98751.94280338002,-98642.8832829926,-98470.3844903724,-98374.73252767006,-98538.27146099327,-98345.35142170782,-98623.56781767932,-98352.10607118678,-98298.89926580478,-98871.8511426734,-98125.62713462589,-98615.07709402764,-98644.07883874855,-99134.70136408757,-98767.23662560784,-98335.4835722862,-99055.25193172168,-98329.81864802081
-98374.73252767006,616.4511492351379,-98352.10607118678,-98603.60296712119,-98335.4835722862,-98642.8832829926,-98115.79498989363,4000,-98527.62952895238,635.0690716367727,-98644.07883874855,613.784667479423,604.5447257996426,-98615.07709402764,-98538.27146099327,-98371.95797696826,-98345.35142170782,-98449.07321968363,-98298.89926580478,-98484.95331528778,-98329.81864802081,-98125.62713462589,-98631.27548264983,558.6044916340027,-98470.3844903724,-98559.17188553835,-98751.94280338002,-98623.56781767932,-98289.65726700725,-98692.19444221695,-98289.36833964425
-98345.35142170782,616.4511492351379,-98329.81864802081,-98484.95331528778,-98315.1241270709,-98559.17188553835,-98115.79498989363,5000,-98449.07321968363,635.0690716367727,-98603.60296712119,613.784667479423,604.5447257996426,-98527.62952895238,-98454.37018522435,-98335.4835722862,-98324.93478728701,-98352.10607118678,-98298.89926580478,-98374.73252767006,-98301.19297374567,-98125.62713462589,-98548.3353806153,558.6044916340027,-98371.95797696826,-98470.3844903724,-98615.07709402764,-98538.27146099327,-98289.65726700725,-98604.24512159718,-98289.36833964425
-98301.19297374567,616.4511492351379,-98289.65726700725,-98371.95797696826,-98250.44957197981,-98449.07321968363,435.0227170144911,6000,-98335.4835722862,635.0690716367727,-98454.37018522435,613.784667479423,604.5447257996426,-98374.73252767006,-98345.35142170782,-98298.89926580478,-98289.36833964425,-98315.1241270709,-98203.61789271656,-98329.81864802081,-98243.52707513596,-98115.79498989363,-98426.83008700697,558.6044916340027,-98324.93478728701,-98352.10607118678,-98484.95331528778,-98398.10823077743,-98188.16593985383,-98470.3844903724,-98125.62713462589
-98289.65726700725,616.4511492351379,-98287.26804097882,-98337.98931155939,-98250.44957197981,-98374.73252767006,435.0227170144911,7000,-98324.93478728701,635.0690716367727,-98398.10823077743,613.784667479423,604.5447257996426,-98345.35142170782,-98329.81864802081,-98289.36833964425,-98258.75682968818,-98298.89926580478,-98203.61789271656,-98315.1241270709,-98243.52707513596,-98115.79498989363,-98371.95797696826,558.6044916340027,-98301.19297374567,-98335.4835722862,-98427.56817018065,-98352.10607118678,-98188.16593985383,-98426.83008700697,-98125.62713462589
-98250.44957197981,635.0690716367727,-98231.49478523075,-98301.19297374567,-98201.99598532733,-98329.81864802081,558.6044916340027,8000,-98289.36833964425,664.2274193668964,-98335.4835722862,616.4511492351379,613.784667479423,-98315.1241270709,-98289.65726700725,-98243.52707513596,-98203.61789271656,-98258.75682968818,-98179.03075495905,-98289.30226309299,-98188.16593985383,435.0227170144911,-98324.93478728701,604.5447257996426,-98287.26804097882,-98298.89926580478,-98345.35142170782,-98317.43864599869,-98125.62713462589,-98337.98931155939,-98115.79498989363
-98228.31944729738,635.0690716367727,-98201.99598532733,-98287.26804097882,-98188.16593985383,-98298.89926580478,604.5447257996426,9000,-98250.44957197981,664.2274193668964,-98301.19297374567,619.5891389235895,616.4511492351379,-98289.30226309299,-98258.75682968818,-98203.61789271656,-98188.79378475394,-98231.49478523075,-98125.62713462589,-98243.52707513596,-98179.03075495905,558.6044916340027,-98289.65726700725,613.784667479423,-98243.49493706836,-98278.56744056601,-98317.43864599869,-98289.36833964425,-98115.79498989363,-98315.1241270709,435.0227170144911
-98228.31944729738,635.0690716367727,-98201.99598532733,-98278.56744056601,-98188.16593985383,-98289.65726700725,604.5447257996426,10000,-98250.44957197981,664.2274193668964,-98296.88546643323,619.5891389235895,616.4511492351379,-98287.26804097882,-98258.75682968818,-98203.61789271656,-98188.79378475394,-98231.49478523075,-98125.62713462589,-98243.52707513596,-98179.03075495905,558.6044916340027,-98289.36833964425,613.784667479423,-98243.49493706836,-98271.64471361457,-98301.19297374567,-98289.30226309299,-98115.79498989363,-98298.89926580478,435.0227170144911
