reward 4,reward 22,reward 21,reward 26,reward 8,reward 28,StepNum,reward 13,reward 25,reward 7,reward 3,reward 27,reward 9,reward 18,reward 1,reward 11,reward 20,reward 0,reward 14,reward 2,reward 15,reward 10,reward 12,reward 24,reward 29,reward 19,reward 5,reward 16,reward 23,reward 17,reward 6
-99782.30290612146,0,0,0,-99856.9439197625,0,1000,0,0,-99826.65668651678,-99750.33587824089,0,-99867.72293823569,0,-99439.8328457918,0,0,178.523800066867,0,-99704.02973632718,0,0,0,0,0,0,-99787.52002237657,0,0,0,-99821.00329174535
-99714.77891416456,0,0,0,-99782.30290612146,0,2000,-99820.22158043667,0,-99762.6575832443,-99706.62881295983,0,-99785.07333356395,-99867.72293823569,-99439.8328457918,-99787.59981846185,0,178.523800066867,-99821.00329174535,-99704.02973632718,-99826.65668651678,-99787.52002237657,-99787.70831067795,0,0,-99871.56449419253,-99746.13269609484,-99842.55833113706,0,-99856.9439197625,-99750.33587824089
-99700.47832533355,-99807.57817753803,-99806.61186377253,-99829.02126783102,-99746.13269609484,-99856.9439197625,3000,-99772.78389232318,-99826.65668651678,-99714.77891416456,-99682.51811865313,-99842.55833113706,-99750.25505755788,-99787.59981846185,163.5877934348276,-99762.6575832443,-99806.3403425324,178.523800066867,-99780.88098748271,-99439.8328457918,-99782.30290612146,-99750.33587824089,-99764.23488485391,-99821.00329174535,-99867.72293823569,-99787.70831067795,-99704.02973632718,-99785.07333356395,-99820.22158043667,-99787.52002237657,-99706.62881295983
-99682.51811865313,-99782.30290612146,-99780.88098748271,-99787.70831067795,-99704.02973632718,-99806.3403425324,4000,-99750.25505755788,-99787.59981846185,-99700.47832533355,-99439.8328457918,-99791.35367288752,-99706.62881295983,-99772.15531429299,178.523800066867,-99745.69547393142,-99774.53575316675,213.9942453420581,-99750.33587824089,163.5877934348276,-99762.6575832443,-99714.77891416456,-99746.13269609484,-99787.52002237657,-99806.61186377253,-99772.78389232318,-99692.85178230345,-99764.23488485391,-99785.07333356395,-99766.42826932007,-99696.92145917415
163.5877934348276,-99766.42826932007,-99764.23488485391,-99780.88098748271,-99696.92145917415,-99785.07333356395,5000,-99720.09596251512,-99774.53575316675,-99692.85178230345,178.523800066867,-99782.30290612146,-99700.47832533355,-99750.33587824089,199.32416569800378,-99706.62881295983,-99762.6575832443,213.9942453420581,-99738.86383252274,188.48638632029045,-99745.69547393142,-99704.02973632718,-99714.77891416456,-99772.78389232318,-99787.52002237657,-99751.96673336664,-99439.8328457918,-99746.13269609484,-99772.15531429299,-99750.25505755788,-99682.51811865313
188.6239618491083,-99750.25505755788,-99746.13269609484,-99764.23488485391,163.5877934348276,-99770.39705409847,6000,-99700.47832533355,-99762.6575832443,178.3676842176665,190.05261225101083,-99766.42826932007,-99439.8328457918,-99738.86383252274,209.98409868683075,-99692.85178230345,-99745.69547393142,213.9942453420581,-99704.02973632718,199.32416569800378,-99706.62881295983,-99682.51811865313,-99696.92145917415,-99751.96673336664,-99772.15531429299,-99740.26032851404,188.48638632029045,-99714.77891416456,-99750.33587824089,-99720.09596251512,178.523800066867
188.6239618491083,-99745.69547393142,-99740.26032851404,-99751.96673336664,163.5877934348276,-99764.23488485391,7000,-99696.92145917415,-99750.33587824089,178.3676842176665,190.05261225101083,-99762.6575832443,-99439.8328457918,-99720.09596251512,209.98409868683075,-99682.51811865313,-99738.86383252274,213.9942453420581,-99700.47832533355,199.32416569800378,-99704.02973632718,-99661.59154269403,-99692.85178230345,-99750.25505755788,-99766.42826932007,-99735.75370193597,188.48638632029045,-99706.62881295983,-99746.13269609484,-99714.77891416456,178.523800066867
188.6239618491083,-99740.26032851404,-99738.86383252274,-99748.48769922176,178.3676842176665,-99750.33587824089,8000,-99692.85178230345,-99746.85522883745,178.523800066867,190.05261225101083,-99750.25505755788,163.5877934348276,-99714.77891416456,209.98409868683075,-99661.59154269403,-99735.75370193597,213.9942453420581,-99696.92145917415,199.32416569800378,-99700.47832533355,-99439.8328457918,-99682.51811865313,-99746.13269609484,-99751.96673336664,-99720.09596251512,188.48638632029045,-99704.02973632718,-99745.69547393142,-99706.62881295983,182.49963407665737
188.6239618491083,-99738.86383252274,-99737.68130914426,-99746.85522883745,178.3676842176665,-99750.25505755788,9000,-99692.85178230345,-99746.13269609484,178.523800066867,190.05261225101083,-99748.48769922176,163.5877934348276,-99714.77891416456,209.98409868683075,-99661.59154269403,-99735.75370193597,213.9942453420581,-99696.92145917415,199.32416569800378,-99700.47832533355,-99439.8328457918,-99682.51811865313,-99745.69547393142,-99750.33587824089,-99720.09596251512,188.48638632029045,-99704.02973632718,-99740.26032851404,-99706.62881295983,182.49963407665737
188.6239618491083,-99720.09596251512,-99714.77891416456,-99738.86383252274,178.3676842176665,-99745.69547393142,10000,-99682.51811865313,-99737.68130914426,178.523800066867,190.05261225101083,-99740.26032851404,176.90809302353514,-99704.02973632718,209.98409868683075,-99439.8328457918,-99712.3683139343,213.9942453420581,-99692.85178230345,199.32416569800378,-99694.98933481151,163.5877934348276,-99661.59154269403,-99735.75370193597,-99746.13269609484,-99706.62881295983,188.48638632029045,-99696.92145917415,-99722.43245883273,-99700.47832533355,182.49963407665737
