reward 27,reward 2,StepNum,reward 1,reward 11,reward 14,reward 10,reward 12,reward 6,reward 23,reward 13,reward 9,reward 29,reward 21,reward 26,reward 3,reward 7,reward 28,reward 0,reward 16,reward 4,reward 24,reward 18,reward 15,reward 25,reward 20,reward 19,reward 22,reward 17,reward 8,reward 5
0,-99710.08017989177,1000,-99572.3303783441,0,0,0,0,-99808.63886577105,0,0,-99864.4603774193,0,0,0,-99735.4701948735,-99816.94624446382,0,173.3346699715862,0,-99751.2989225079,0,0,0,0,0,0,0,0,-99855.65871713954,-99801.36551493469
0,173.3346699715862,2000,174.86710918691517,-99744.30053951441,-99801.36551493469,-99738.53168716004,-99751.2989225079,-99725.1109531461,0,-99796.25274682973,-99735.4701948735,0,0,0,-99572.3303783441,-99727.86085485244,0,180.70396138142962,-99816.94624446382,-99710.08017989177,0,-99855.65871713954,-99808.63886577105,0,-99865.98918434355,-99864.4603774193,0,-99820.52592629443,-99730.05986112171,-99721.77865594265
-99829.04341853314,174.86710918691517,3000,180.70396138142962,-99730.05986112171,-99743.73792461603,-99727.86085485244,-99735.4701948735,-99572.3303783441,-99812.40067612015,-99738.53168716004,-99725.1109531461,-99855.65871713954,-99808.63886577105,-99820.52592629443,173.3346699715862,-99710.08017989177,-99835.66416960949,215.71822908450292,-99751.2989225079,169.41151000525235,-99816.94624446382,-99755.41069370396,-99744.30053951441,-99818.6836986373,-99801.36551493469,-99796.25274682973,-99808.80929909504,-99753.79315859822,-99721.77865594265,-99552.86948689353
-99801.36551493469,180.70396138142962,4000,213.18694402329834,-99725.1109531461,-99735.4701948735,-99721.77865594265,-99727.86085485244,-99552.86948689353,-99783.28326180077,-99730.05986112171,-99710.08017989177,-99803.62841445157,-99774.85281943418,-99796.25274682973,174.86710918691517,-99572.3303783441,-99802.1701834849,215.71822908450292,-99743.73792461603,173.3346699715862,-99785.55319080847,-99751.2989225079,-99738.53168716004,-99788.28662807598,-99755.41069370396,-99753.79315859822,-99776.44503325965,-99744.30053951441,-99702.87570521173,169.41151000525235
-99777.42629127004,213.18694402329834,5000,215.71822908450292,-99710.08017989177,-99727.86085485244,-99708.0505353152,-99721.77865594265,169.41151000525235,-99767.46773857859,-99725.1109531461,-99702.87570521173,-99785.55319080847,-99753.79315859822,-99776.44503325965,180.70396138142962,-99552.86948689353,-99783.28326180077,256.1335995809985,-99735.4701948735,174.86710918691517,-99770.67505405117,-99743.73792461603,-99730.05986112171,-99774.85281943418,-99751.2989225079,-99744.30053951441,-99755.41069370396,-99738.53168716004,-99572.3303783441,173.3346699715862
-99744.30053951441,230.53830052115583,6000,256.1335995809985,174.86710918691517,-99552.86948689353,175.11957847601408,173.3346699715862,202.156022482803,-99735.4701948735,169.41151000525235,180.70396138142962,-99751.2989225079,-99727.86085485244,-99743.73792461603,215.71822908450292,194.7580067692557,-99744.34761361963,261.4200580270982,-99702.87570521173,213.18694402329834,-99738.53168716004,-99710.08017989177,-99572.3303783441,-99738.98945086705,-99725.1109531461,-99721.77865594265,-99730.05986112171,-99708.0505353152,185.97116096765126,207.6221728057485
-99738.98945086705,230.53830052115583,7000,256.1335995809985,175.11957847601408,169.41151000525235,180.70396138142962,174.86710918691517,202.156022482803,-99727.86085485244,173.3346699715862,185.88858871748351,-99744.30053951441,-99721.77865594265,-99738.53168716004,215.71822908450292,194.7580067692557,-99743.73792461603,261.4200580270982,-99572.3303783441,213.18694402329834,-99730.05986112171,-99702.87570521173,-99552.86948689353,-99735.4701948735,-99710.08017989177,-99708.0505353152,-99725.1109531461,-99678.96372814896,185.97116096765126,207.6221728057485
-99725.1109531461,230.53830052115583,8000,256.1335995809985,185.88858871748351,174.86710918691517,185.97116096765126,180.70396138142962,202.156022482803,-99708.0505353152,175.11957847601408,193.35832296102205,-99730.05986112171,-99684.03091042486,-99721.77865594265,215.71822908450292,199.13436686792858,-99727.86085485244,261.4200580270982,169.41151000525235,213.18694402329834,-99708.65578920732,-99572.3303783441,173.3346699715862,-99710.08017989177,-99678.96372814896,-99617.35147302477,-99702.87570521173,-99552.86948689353,194.7580067692557,207.6221728057485
-99710.08017989177,230.53830052115583,9000,256.1335995809985,191.763600360473,180.70396138142962,193.31979323048753,185.97116096765126,202.156022482803,-99684.03091042486,185.88858871748351,193.35832296102205,-99725.1109531461,-99617.35147302477,-99708.65578920732,215.71822908450292,199.13436686792858,-99721.77865594265,261.4200580270982,174.86710918691517,213.18694402329834,-99702.87570521173,169.41151000525235,175.11957847601408,-99708.0505353152,-99572.3303783441,-99552.86948689353,-99678.96372814896,173.3346699715862,194.7580067692557,207.6221728057485
-99617.35147302477,256.1335995809985,10000,261.4200580270982,193.31979323048753,185.88858871748351,193.35832296102205,191.763600360473,207.6221728057485,169.41151000525235,185.97116096765126,194.7580067692557,-99684.03091042486,174.86710918691517,-99572.3303783441,230.53830052115583,202.156022482803,-99678.96372814896,264.98130047053667,183.59097466727897,215.71822908450292,162.20526403859495,180.70396138142962,184.7036282292774,-99552.86948689353,175.03605735265944,175.11957847601408,173.3346699715862,181.48963815833434,199.13436686792858,213.18694402329834
